order_id,order_date,customer_id,city,category,quantity,unit_price,discount_pct,status,gross_amount,net_amount
1001,2026-07-01,C101,Coimbatore,Electronics,2,25000.0,5.0,COMPLETED,50000.0,47500.0
1002,2026-07-01,C102,Chennai,Grocery,10,120.0,0.0,COMPLETED,1200.0,1200.0
1003,2026-07-01,C103,Bengaluru,Fashion,3,1800.0,10.0,COMPLETED,5400.0,4860.0
1004,2026-07-02,C104,Coimbatore,Grocery,5,250.0,0.0,CANCELLED,1250.0,1250.0
1005,2026-07-02,C105,Chennai,Electronics,1,62000.0,8.0,COMPLETED,62000.0,57040.0
1006,2026-07-02,C106,Hyderabad,Fashion,4,2200.0,15.0,COMPLETED,8800.0,7480.0
1007,2026-07-03,C107,Bengaluru,Grocery,20,95.0,2.0,COMPLETED,1900.0,1862.0
1008,2026-07-03,C108,Hyderabad,Electronics,2,18000.0,5.0,RETURNED,36000.0,34200.0
1009,2026-07-03,C109,Coimbatore,Fashion,5,1400.0,0.0,COMPLETED,7000.0,7000.0
1010,2026-07-04,C110,Chennai,Grocery,12,150.0,5.0,COMPLETED,1800.0,1710.0
1011,2026-07-04,C111,Bengaluru,Electronics,1,45000.0,12.0,COMPLETED,45000.0,39600.0
1012,2026-07-04,C112,Hyderabad,Grocery,8,210.0,0.0,COMPLETED,1680.0,1680.0
1015,2026-07-05,C115,Coimbatore,Grocery,6,180.0,10.0,COMPLETED,1080.0,972.0
1016,2026-07-06,C116,Chennai,Electronics,1,28000.0,0.0,COMPLETED,28000.0,28000.0
1017,2026-07-06,C117,Hyderabad,Fashion,2,3200.0,5.0,COMPLETED,6400.0,6080.0
1018,2026-07-06,C118,Bengaluru,Grocery,15,110.0,0.0,COMPLETED,1650.0,1650.0
1019,2026-07-07,C119,Coimbatore,Electronics,3,12000.0,10.0,COMPLETED,36000.0,32400.0
1020,2026-07-07,C120,Chennai,Fashion,1,5000.0,20.0,CANCELLED,5000.0,4000.0
