id,name,age,salary,department,active
0,User_0,33,45616.13566539833,HR,False
1,User_1,61,64449.22291177712,Marketing,False
2,User_2,51,80159.41664113793,Marketing,False
3,User_3,57,93176.42351925165,Marketing,True
4,User_4,63,147583.5403563556,Marketing,True
5,User_5,48,66185.58135013704,Sales,True
6,User_6,34,148548.31830392452,Engineering,False
7,User_7,42,45157.20755158744,Marketing,True
8,User_8,28,112920.6349974482,Engineering,True
9,User_9,29,47035.013218224754,Marketing,False
10,User_10,53,82196.37425917265,HR,True
11,User_11,31,123260.4760565386,Marketing,True
12,User_12,50,131966.60570877482,Marketing,False
13,User_13,48,134095.1786098062,Sales,True
14,User_14,24,102911.3920949279,Sales,True
15,User_15,40,148269.59736391262,Engineering,True
16,User_16,41,58598.99268480244,Engineering,False
17,User_17,44,138889.33352328287,Sales,True
18,User_18,39,59862.22464032867,Sales,True
19,User_19,44,72342.55781076639,Engineering,True
20,User_20,39,68076.70199744031,Sales,False
21,User_21,41,48911.72964165338,Marketing,False
22,User_22,36,79842.72037118423,Marketing,False
23,User_23,28,122739.41748218122,Marketing,True
24,User_24,29,63173.3961004943,Marketing,False
25,User_25,31,55653.61968546358,Sales,True
26,User_26,21,107411.74388750017,HR,False
27,User_27,30,125126.14450489909,HR,False
28,User_28,23,100635.2906773787,HR,False
29,User_29,33,140374.31546719238,Marketing,True
30,User_30,31,122806.03134855673,Sales,True
31,User_31,49,88145.27235780976,HR,True
32,User_32,58,135716.76662159612,Engineering,False
33,User_33,58,109563.37823107158,HR,True
34,User_34,29,92696.0834466749,Sales,True
35,User_35,59,83764.09351590968,Sales,True
36,User_36,43,90948.83931202133,Engineering,True
37,User_37,18,131222.2844746423,Engineering,True
38,User_38,62,144263.82669348156,Marketing,False
39,User_39,40,135330.27484271378,Marketing,True
40,User_40,50,78911.33575163854,Engineering,False
41,User_41,23,110353.43844107384,Engineering,False
42,User_42,49,77919.77375762443,Sales,True
43,User_43,36,122021.2451072802,Sales,True
44,User_44,52,129656.42499232625,Marketing,False
45,User_45,58,79166.91534382422,Marketing,False
46,User_46,19,91578.40318421737,Sales,True
47,User_47,40,96836.84664238854,Sales,True
48,User_48,65,107295.6500029735,HR,False
49,User_49,47,91960.95438030525,Marketing,False
50,User_50,34,51483.139578412985,Sales,True
51,User_51,51,72646.56397124639,HR,False
52,User_52,60,79029.75108656564,Sales,True
53,User_53,65,144493.1086716653,HR,True
54,User_54,33,101208.1316214905,HR,True
55,User_55,34,58469.025906665964,Marketing,True
56,User_56,55,52088.3324138875,HR,False
57,User_57,20,96149.70735915807,HR,False
58,User_58,36,86770.83353977858,Marketing,True
59,User_59,62,68292.15639743695,HR,True
60,User_60,64,79244.60871645351,Marketing,True
61,User_61,51,87116.11378346515,HR,True
62,User_62,62,48394.25816599887,Marketing,False
63,User_63,55,123664.21370981864,Marketing,True
64,User_64,33,118751.5701982682,HR,True
65,User_65,47,49256.648742136575,Sales,True
66,User_66,22,97302.3189628539,Engineering,True
67,User_67,40,68455.19467831138,Sales,False
68,User_68,56,86553.5232261882,Marketing,True
69,User_69,37,98509.4373474148,Sales,False
70,User_70,45,54235.05523557785,Engineering,True
71,User_71,35,58274.3036402737,Engineering,True
72,User_72,39,125554.36846717658,Marketing,True
73,User_73,41,98451.65757314087,Marketing,False
74,User_74,65,72027.00533596039,Marketing,False
75,User_75,18,72650.79814993008,Sales,False
76,User_76,19,123683.43309422016,HR,True
77,User_77,18,56173.94097040419,HR,True
78,User_78,30,46252.52993906216,Sales,True
79,User_79,30,78380.81911482311,Sales,True
80,User_80,28,50709.609765492576,Sales,False
81,User_81,54,63016.475196599786,HR,True
82,User_82,54,93336.77375202824,HR,False
83,User_83,55,78520.99654132879,HR,False
84,User_84,46,84745.5212845834,Sales,False
85,User_85,49,102888.9616054842,Engineering,False
86,User_86,54,68884.94547672106,Engineering,False
87,User_87,30,71895.238661222,HR,True
88,User_88,59,142292.8759672806,HR,True
89,User_89,19,137633.46385299216,HR,True
90,User_90,25,55203.880141755435,HR,True
91,User_91,27,142807.0699707028,Marketing,True
92,User_92,53,142213.27569857187,Sales,True
93,User_93,58,47776.40743015079,Marketing,True
94,User_94,35,48988.24627275515,Engineering,True
95,User_95,25,106973.05524667728,Engineering,False
96,User_96,61,90614.3218809537,Marketing,False
97,User_97,49,139659.59410154942,Sales,True
98,User_98,22,88860.86943344527,Marketing,False
99,User_99,50,69352.2899720316,HR,False
